access;tests;tests_grade;exam;project;project_grade;assignments;result_points;result_grade;graduate;year;acad_year
794;68.1;A;19.4;100.23;A;37;235.34;A;1;2020;2020/2021
844;57.85;C;12.57;96.14;A;32;215.75;B;1;2020;2020/2021
658;64.6;B;17.57;101.59;A;37;224.27;B;1;2020;2020/2021
1193;56.93;C;13.28;102.31;A;36;216.56;B;1;2020;2020/2021
1400;61.35;C;15.4;93.72;B;34;214.72;B;1;2020;2020/2021
1335;57.95;C;13.97;101.75;A;37;228.9;B;1;2020;2020/2021
1139;59.45;C;14.3;105;A;37;225.42;B;1;2020;2020/2021
634;58.48;C;14.65;82.38;C;28;194.21;C;1;2020;2020/2021
645;55.68;D;14.12;88.94;B;30;199.91;C;1;2020;2020/2021
1286;60.75;C;17;94.5;A;35;202.86;C;1;2020;2020/2021
728;58.08;C;17.22;83;C;24;184.5;C;1;2020;2020/2021
945;53.85;D;14.57;91.71;B;28;195.92;C;1;2020;2020/2021
1002;56.75;C;13.5;92.94;B;35;197.49;C;1;2020;2020/2021
599;52.68;D;12.12;99.7;A;28;195.48;C;1;2020;2020/2021
777;46.75;E;13.33;96.76;A;34;195.02;C;1;2020;2020/2021
1319;51.05;D;10.87;88.15;B;36;193.79;C;1;2020;2020/2021
807;60.5;C;13;95.62;A;32;208.63;C;1;2020;2020/2021
906;20.4;FX;12.15;88.01;B;32;132.03;C;1;2020;2020/2021
652;61.15;C;12.93;92.74;B;33;205.71;C;1;2020;2020/2021
772;49.85;E;12.4;101.01;A;36;209.18;C;1;2020;2020/2021
874;49.55;E;13.87;92.92;B;34;194.09;C;1;2020;2020/2021
710;53.5;D;16;91.57;B;28;196.11;C;1;2020;2020/2021
1253;52.85;D;12.57;94.86;A;39;206.47;C;1;2020;2020/2021
932;56.75;C;15;95.21;A;35;203.08;C;1;2020;2020/2021
1363;51.27;E;12.9;87.88;B;36;162.49;C;1;2020;2020/2021
1729;44.95;FX;15.3;90.55;B;37;192.11;C;1;2020;2020/2021
1102;56.23;D;15.82;94.72;A;36;206.31;C;1;2020;2020/2021
1031;54.33;D;14.38;89.16;B;37;195.54;C;1;2020;2020/2021
923;53.63;D;13.42;84.85;C;31;178.5;D;1;2020;2020/2021
1266;42.8;FX;14.87;88.79;B;35;180.57;D;1;2020;2020/2021
1463;61.39;E;13.67;88.95;B;29;152.32;D;1;2020;2020/2021
722;51.25;D;12.5;84.73;C;31;180.29;D;1;2020;2020/2021
697;17.87;FX;11.98;83.1;C;0;122.25;D;1;2020;2020/2021
834;45.7;E;15.13;98.87;A;34;187.26;D;1;2020;2020/2021
1202;55.48;D;14.48;91.21;B;22;190.02;D;1;2020;2020/2021
626;59.25;C;15;78.57;D;34;182.47;D;1;2020;2020/2021
605;55.95;D;16.13;87.4;B;32;191.39;D;1;2020;2020/2021
897;40;A;0;0;FX;20;62.6;E;1;2020;2020/2021
650;40.55;FX;9.2;96.53;A;28;168.78;E;1;2020;2020/2021
665;47.24;E;12.83;84.06;C;21;160.05;E;1;2020;2020/2021
737;41.24;FX;11.49;92.05;B;29;164.21;E;1;2020;2020/2021
1886;39.18;FX;10.45;86.5;C;24;164.13;E;1;2020;2020/2021
583;44.55;FX;14.7;84.84;C;17;165.41;E;1;2020;2020/2021
825;50.75;E;18.5;81.22;C;28;164.24;E;1;2020;2020/2021
1237;49.5;E;12.5;79.72;C;26;161.68;E;1;2020;2020/2021
1038;40.25;FX;15.17;91.81;B;20;159.4;E;1;2020;2020/2021
583;35;B;0;0;FX;19;53.75;FX;0;2020;2020/2021
499;24.73;FX;1.00;37.2;FX;19;72.19;FX;0;2020;2020/2021
448;27;FX;0;0;FX;12;54.75;FX;0;2020;2020/2021
686;28.13;FX;7.21;29.39;FX;10;70.2;FX;0;2020;2020/2021
18;20;FX;0;0;FX;10;24.61;FX;0;2020;2020/2021
749;22.61;FX;9.23;32.82;FX;12;58.52;FX;0;2020;2020/2021
562;31;FX;0;0;FX;19;53.97;FX;0;2020;2020/2021
648;22.6;FX;12.23;90.49;D;15;140.31;FX;0;2020;2020/2021
78;0;FX;13.83;55.06;FX;12;62.98;FX;0;2020;2020/2021
515;35;B;0;0;FX;18;51.83;FX;0;2020;2020/2021
409;21;FX;0;20.47;FX;12;53.47;FX;0;2020;2020/2021
260;25.83;FX;8.72;58.33;E;13;105.88;FX;0;2020;2020/2021
26;0;FX;14.48;57.12;E;18;126.46;FX;0;2020;2020/2021
446;28;FX;0;13.21;FX;10;51.21;FX;0;2020;2020/2021
